customer_id,customer_name,email,registration_date,customer_type,region_code
1,Deborah Morris,riverapamela@example.org,2024-02-19,VIP,SOUTH
2,Amber Bennett,ericsmith@example.org,2023-11-30,PREMIUM,WEST
3,Austin Novak,ilucero@example.com,2024-02-03,REGULAR,WEST
4,Rhonda Smith,qharrison@example.org,2024-11-22,REGULAR,NORTH
5,Holly Austin,woodskaitlyn@example.net,2024-05-09,VIP,NORTH
6,Jose Trujillo,jeremiahmiller@example.org,2025-03-28,REGULAR,NORTH
7,Lucas Wright,jack45@example.net,2025-06-26,VIP,EAST
8,Kelly Ray,kathleen25@example.com,2025-02-11,PREMIUM,WEST
9,Lauren Michael,adkinslauren@example.net,2023-09-22,REGULAR,EAST
10,Veronica Smith,conleyjohn@example.com,2024-11-22,VIP,NORTH
11,John Mathews,courtneymontoya@example.net,2025-03-31,REGULAR,NORTH
12,Daniel Howell,rwilson@example.net,2025-09-16,PREMIUM,WEST
13,Gabrielle Stafford,matthew78@example.com,2026-05-05,REGULAR,EAST
14,Scott Hines,bryan56@example.net,2023-08-18,PREMIUM,NORTH
15,Beth Perez,hgreer@example.net,2024-10-11,VIP,EAST
16,Gregory Chavez,burchteresa@example.org,2025-03-18,VIP,NORTH
17,Stacey Dixon,marywalkerexample.org,2024-05-13,PREMIUM,WEST
18,Heather Burke,annaschmidt@example.org,2025-10-15,PREMIUM,EAST
19,David Valentine,nicholasgarcia@example.org,2026-03-22,REGULAR,SOUTH
20,Lisa Bridges,amberfriedman@example.com,2024-05-19,REGULAR,SOUTH
21,Tyler Rush,peter86@example.com,2025-07-06,PREMIUM,NORTH
22,Nathan Evans,kingangela@example.com,2024-05-29,REGULAR,EAST
23,Lisa Chung,fischerdonald@example.com,2024-03-14,PREMIUM,SOUTH
24,Renee Tapia,petermoore@example.com,2025-03-08,REGULAR,SOUTH
25,Danielle Bell,tabithahill@example.com,2024-01-17,VIP,SOUTH
26,Laurie Chambers,scottchambers@example.com,2023-07-26,REGULAR,SOUTH
27,Kelly Warren,chall@example.com,2024-01-19,REGULAR,EAST
28,Lisa Hernandez,nancy06@example.com,2024-01-01,PREMIUM,EAST
29,Jessica Jackson,oblake@example.net,2023-12-17,REGULAR,NORTH
30,Nicholas Moyer,john76@example.com,2023-10-06,PREMIUM,NORTH
31,Sharon Ramirez,rebecca85@example.com,2026-05-11,REGULAR,WEST
32,Victoria Miller,marqueztodd@example.net,2025-08-16,PREMIUM,SOUTH
33,Jeffrey Baker,kcastro@example.com,2026-02-06,REGULAR,EAST
34,Tammy Reyes,garzalaura@example.org,2025-12-20,REGULAR,WEST
35,Vincent Allen,tochoa@example.net,2023-09-09,REGULAR,WEST
36,Richard Phelps,bentleylisa@example.net,2025-05-10,PREMIUM,WEST
37,Allison Bradley,mccoymark@example.com,2025-04-10,VIP,NORTH
38,Monica Atkinson,michael55@example.org,2024-09-11,PREMIUM,EAST
39,Anthony Ellis,kayla23@example.net,2025-11-06,VIP,EAST
40,Natalie Mullins,megangates@example.com,2025-01-06,VIP,NORTH
41,Natalie Huff,leslietorres@example.net,2023-11-27,VIP,SOUTH
42,Emily Crawford,katherineharris@example.net,2025-08-02,VIP,SOUTH
43,Robert Huang,susanmorris@example.org,2024-04-29,REGULAR,SOUTH
44,Susan Graves,katherine82@example.com,2026-02-24,VIP,NORTH
45,Christina Davis,jphelps@example.net,2024-12-19,PREMIUM,NORTH
46,Jennifer Morse,kirkjill@example.com,2026-02-16,PREMIUM,SOUTH
47,Angela Key,pmckenzie@example.net,2024-03-06,PREMIUM,EAST
48,Denise Simpson,johnperez@example.net,2024-06-09,PREMIUM,EAST
49,Edward Oconnell,amassey@example.net,2025-11-12,REGULAR,EAST
50,Mrs. Charlotte Stone MD,tfrancis@example.com,2024-08-22,VIP,SOUTH
51,Jacob Schaefer,lukekelly@example.net,2024-02-03,REGULAR,WEST
52,Ronald Park,colinloweryexample.net,2025-07-18,REGULAR,SOUTH
53,Ashley Mckenzie,jenniferrobbins@example.net,2025-11-16,VIP,NORTH
54,Courtney Adams,stevenssamuel@example.net,2025-05-17,REGULAR,SOUTH
55,Zachary Johnson,dhansen@example.com,2025-07-19,REGULAR,WEST
56,Brittany Fleming,blevinsjoshua@example.com,2023-08-21,PREMIUM,SOUTH
57,Katherine Padilla,valerielewis@example.com,2024-11-02,VIP,WEST
58,Megan Rivera,ithomas@example.net,2026-01-06,REGULAR,WEST
59,Adam Lynch,briana19@example.org,2025-10-09,VIP,WEST
60,Christopher Lee,maryjohnson@example.com,2024-01-11,PREMIUM,EAST
61,Brandon Powell,yballard@example.net,2025-07-15,REGULAR,EAST
62,Greg Davis,gregory64@example.com,2023-11-27,PREMIUM,WEST
63,James Perez,morgankaren@example.net,2024-08-13,VIP,EAST
64,Larry Hendrix,flemingcody@example.org,2025-10-08,PREMIUM,NORTH
65,Gabriel Torres,michele23@example.net,2026-02-28,PREMIUM,NORTH
66,Mr. William Davis DDS,carolberry@example.com,2024-04-10,REGULAR,NORTH
67,Robin Wallace,mcconnellpamela@example.org,2024-11-05,PREMIUM,NORTH
68,Ashley Vega,racheljimenez@example.net,2024-03-07,VIP,EAST
69,Tamara Pace DVM,hbowers@example.net,2025-11-17,PREMIUM,EAST
70,David Thomas,zlopez@example.org,2025-01-16,VIP,NORTH
71,William Castillo,abbottchristopher@example.net,2024-11-18,VIP,SOUTH
72,Kristine Park,psherman@example.org,2024-09-20,VIP,SOUTH
73,Jerome Gonzalez,ypowell@example.org,2025-08-09,VIP,SOUTH
74,Brian Hoffman,ytorres@example.com,2026-06-06,REGULAR,EAST
75,Kelsey Williams,parkerbriana@example.net,2025-10-30,REGULAR,NORTH
76,Erik Williams,williamskevin@example.org,2025-01-06,PREMIUM,SOUTH
77,Amy Bryan,hrodgers@example.org,2025-09-07,VIP,SOUTH
78,Michael Lozano,bryantjacob@example.org,2024-11-18,REGULAR,SOUTH
79,Dalton Clark,williamspatrick@example.net,2024-01-06,VIP,SOUTH
80,Abigail Allen,tracey63@example.com,2025-03-25,VIP,SOUTH
81,Charles Sanchez,nicole69@example.net,2026-03-08,VIP,WEST
82,Todd Valdez,robert06@example.com,2025-02-14,PREMIUM,NORTH
83,Steven Montoya,aking@example.net,2026-06-19,PREMIUM,EAST
84,Michael Cole,chadwilson@example.org,2025-08-06,VIP,WEST
85,Joshua Jackson,stephanie64@example.net,2024-09-26,PREMIUM,EAST
86,Kelly Rodriguez,fosternicole@example.org,2023-11-21,PREMIUM,NORTH
87,Kathleen Martinez,harrisondaniel@example.org,2023-09-07,VIP,EAST
88,Cathy Farmer,allenchristina@example.com,2024-02-16,VIP,NORTH
89,Randy Bates,kaylahardy@example.org,2025-12-09,PREMIUM,SOUTH
90,Christian Villarreal,sandra57@example.org,2026-04-05,REGULAR,SOUTH
91,James Arroyo,perezcourtney@example.com,2026-04-27,REGULAR,WEST
92,Allison Alexander,carolynroberts@example.org,2024-02-17,REGULAR,SOUTH
